,neighborhood,latitude,longitude,name,categories
3320,São Conrado,-22996166,-43259307,Brigadeiros Fabiana d'Angelo,Various Restaurants
3321,São Conrado,-22996933,-43260267,PÃ¡ru Inkas Sushi & Grill,Various Restaurants
3322,São Conrado,-22998516,-43267845,Pizzaria Zona Sul,Various Restaurants
3323,São Conrado,-2299684,-43260202,Burger Joint,Various Restaurants
3324,São Conrado,-22993459,-43271578,Padaria e Lanchonete John Canoas,Various Restaurants
3325,São Conrado,-22994708,-43271004,Delicia de Minas,Various Restaurants
3326,São Conrado,-22995684,-43269898,Favelinha,Various Restaurants
3327,São Conrado,-22996322,-43265065,Bar Misto- Gavea Golf,Various Restaurants
3328,São Conrado,-22996319,-43264888,Bar do Golfista - Gavea Golf Club,Various Restaurants
3329,São Conrado,-22999056,-432691,Somewhere Over The Rainbow,Various Restaurants
3330,São Conrado,-22999636,-43269331,Wasabe Restaurante,Various Restaurants
3331,São Conrado,-22996873,-4326014,Brasero Atlantico,Various Restaurants
3332,São Conrado,-22996383,-43259501,Bar Quattro Amici,Various Restaurants
3333,São Conrado,-22996873,-4326014,Kiosque do PortuguÃªs,Various Restaurants
3334,São Conrado,-22999435,-43270427,Quiosque SÃ£o Conrado,Various Restaurants
3335,São Conrado,-22994855,-43271446,Restaurante Zona Zen,Various Restaurants
3336,São Conrado,-22994196,-43262271,Ceri Assessoria e Planejamento Empresarial - SÃ£o Conrado,Various Restaurants
3337,São Conrado,-22992927,-43259857,Tasting Banquet,Various Restaurants
3338,Gávea,-22995307,-43260792,Crepe Hum,Various Restaurants
3339,São Conrado,-22998637,-43270721,Restaurantes Rotativo Popular Ltda,Various Restaurants
3340,São Conrado,-22996788,-43261016,BistrÃ´ Pax,Various Restaurants
